ID;Titulo;Ruta_Archivo;Genero;Calificacion
001;2 Be High;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\2 Be High.mp3;Techno;8
002;141 Schneeschieber (Slowed Version);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\141 Schneeschieber (Slowed Version).mp3;Hardtekk;9
003;Activision;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Activision.mp3;Hard Techno;7
004;Blade;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Blade.mp3;Techno;8
005;BLESSED MANE - Death Is No More;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\BLESSED MANE - Death Is No More.mp3;Phonk;9
006;Brutalismus 3000 - 9mm (Official Video);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Brutalismus 3000 - 9mm (Official Video).mp3;Nu-Gabber;10
007;Bungelgrave;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Bungelgrave.mp3;Hardstyle;7
008;CLUB BIZARRE (SLOWED HARDTEKK);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\CLUB BIZARRE (SLOWED HARDTEKK).mp3;Hardtekk;8
009;Coone - 4 BY 4 BEATS (I Don't Care) (Official Hardstyle Video);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Coone - 4 BY 4 BEATS (I Don't Care) (Official Hardstyle Video).mp3;Hardstyle;10
010;DISCOFEVER;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\DISCOFEVER.mp3;Hard House;8
011;Doomsday (Original Mix);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Doomsday (Original Mix).mp3;Hardstyle;9
012;Fata Morgana Techno;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Fata Morgana Techno.mp3;Techno;7
013;Follow Me (Nobody Listens To Techno) (Anderex Remix);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Follow Me (Nobody Listens To Techno) (Anderex Remix).mp3;Rawstyle;10
014;GET THE FUCK OUT;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\GET THE FUCK OUT.mp3;Hardcore;9
015;gladde visstick;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\gladde visstick.mp3;Hard House;8
